report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-02-20,Mexico-Hidalgo,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-98.999753 20.437948)
2016-02-20,Mexico-Jalisco,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-103.555425 20.548388)
2016-02-20,Mexico-Mexico,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-99.248544 19.623374)
2016-02-20,Mexico-Michoacan_de_Ocampo,state,yearly_cumulative_male,MX0003,NA,NA,1,cases,POINT(-101.090275 19.638612)
2016-02-20,Mexico-Morelos,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-101.235582 19.644956)
2016-02-20,Mexico-Nayarit,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-105.064080 21.553137)
2016-02-20,Mexico-Nuevo_Leon,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-100.212126 25.563082)
2016-02-20,Mexico-Oaxaca,state,yearly_cumulative_male,MX0003,NA,NA,17,cases,POINT(-96.688639 17.071072)
2016-02-20,Mexico-Puebla,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-98.201901 19.041942)
2016-02-20,Mexico-Queretaro_de_Arteaga,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-99.968735 20.777263)
2016-02-20,Mexico-Quintana_Roo,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-87.665571 19.363133)
2016-02-20,Mexico-San_Luis_Potosi,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-100.971871 22.153367)
2016-02-20,Mexico-Sinaloa,state,yearly_cumulative_male,MX0003,NA,NA,1,cases,POINT(-107.433421 24.718138)
2016-02-20,Mexico-Sonora,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-110.869511 28.917388)
2016-02-20,Mexico-Tabasco,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-93.011903 18.157471)
2016-02-20,Mexico-Tamaulipas,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-97.889001 24.706950)
2016-02-20,Mexico-Tlaxcala,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-98.162046 19.423933)
2016-02-20,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-96.450242 19.030887)
2016-02-20,Mexico-Yucatan,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-96.450242 19.030887)
2016-02-20,Mexico-Zacatecas,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-102.781320 22.845070)
